property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft
Flat,8000000,Gulistan-e-Jauhar,24.924636,67.141903,3,3,2019-06-14,2069.1
House,43500000,DHA Defence,24.782215,67.074537,5,4,2019-06-14,1089.0
House,72500000,North Nazimabad,24.941744,67.053638,8,8,2019-06-20,4900.5
Flat,50000000,Bath Island,24.83566093,67.0286026,5,3,2019-07-03,2804.175
House,90000000,Gulshan-e-Iqbal Town,24.91672708,67.08287172,8,6,2018-10-07,6534.0
Flat,22500000,DHA Defence,24.798481,67.045716,4,3,2019-07-01,2205.225
Flat,13000000,Gulshan-e-Iqbal Town,24.907068,67.094915,4,3,2019-07-02,2423.025
Flat,11500000,Gulistan-e-Jauhar,24.924636,67.141903,3,3,2019-06-16,2913.075
Flat,4790000,Bahria Town Karachi,24.86551,67.056105,2,2,2019-06-21,1143.45
House,3200000,Gadap Town,25.037472,67.07222,3,4,2019-02-17,762.3
Flat,6000000,Bahria Town Karachi,25.020961,67.321172,2,2,2019-05-09,1143.45
Flat,18000000,Gulshan-e-Iqbal Town,24.898465,67.0625,2,3,2019-07-10,1987.425
Flat,12400000,Defence View Society,24.834128,67.078099,2,2,2019-02-17,1279.575
Flat,9500000,Cantt,24.920751,67.178494,2,3,2019-02-17,1824.075
House,14500000,Scheme 33,24.998505,67.130242,4,4,2019-06-05,4356.0
House,97000000,Navy Housing Scheme Karsaz,24.895177,67.104263,6,5,2019-06-05,3811.5
House,222500000,Gulshan-e-Iqbal Town,24.895196,67.084107,7,6,2019-06-07,6534.0
House,100000000,Cantt,24.899769,67.120412,6,5,2019-07-01,5445.0
House,8000000,Bahria Town Karachi,24.894076,67.027715,3,3,2019-06-30,2178.0
Flat,4800000,Bahria Town Karachi,24.86551,67.056105,2,2,2019-06-27,1143.45
Flat,3650000,Gadap Town,25.004868,67.0411,2,2,2019-07-18,898.425
House,16000000,North Karachi,24.97466,67.054667,5,5,2019-07-18,1306.8
Flat,11000000,DHA Defence,24.798481,67.045716,3,3,2019-06-14,1388.475
Flat,4050000,Gulshan-e-Iqbal Town,24.926813,67.087204,2,2,2019-07-18,898.425
House,14500000,Bahria Town Karachi,25.00574,67.316385,4,4,2019-06-27,3811.5
House,140000000,DHA Defence,24.810265,67.043552,10,9,2019-06-14,8712.0
Flat,4700000,Federal B Area,24.926606,67.067707,2,3,2019-07-18,9801.0
Flat,4666000,Fazaia Housing Scheme,25.05711,67.480417,2,2,2019-05-06,1579.05
Flat,7960000,Fazaia Housing Scheme,25.03753644,67.13609934,4,3,2019-05-06,2668.05
Flat,10100000,Fazaia Housing Scheme,25.03749108,67.1361208,5,4,2019-05-06,3403.125
House,6642000,Northern Bypass,25.07576,67.105412,3,3,2019-05-06,1361.25
Penthouse,12200000,Nazimabad,24.906134,67.023983,3,3,2019-04-09,1442.925
House,15000000,Gulistan-e-Jauhar,24.913179,67.121959,5,6,2019-07-18,1633.5
House,155000000,DHA Defence,24.810265,67.043552,5,5,2019-06-14,7078.5
House,135000000,DHA Defence,24.810265,67.043552,7,7,2019-06-14,7078.5
Flat,3300000,Gulistan-e-Jauhar,24.91793323,67.13307917,2,2,2019-07-18,517.275
Flat,3700000,Gulistan-e-Jauhar,24.912026,67.130733,2,2,2019-07-18,1089.0
Flat,6000000,Gulistan-e-Jauhar,24.912026,67.130733,2,2,2019-07-18,1089.0
House,16000000,Gulistan-e-Jauhar,24.907822,67.129209,5,5,2019-07-18,1905.75
Flat,2600000,Gulistan-e-Jauhar,24.912026,67.130733,1,1,2019-07-18,598.95
Upper Portion,14500000,Gulistan-e-Jauhar,24.920384,67.129162,3,3,2019-07-18,2613.6
Flat,6000000,Gulshan-e-Iqbal Town,24.908308,67.07207,2,2,2019-07-18,1089.0
House,6500000,P & T Colony,24.826386,67.045677,2,2,2019-07-18,871.2
Flat,50000000,Sea View Apartments,24.791838,67.044668,3,3,2019-05-09,2776.95
House,92500000,Navy Housing Scheme Karsaz,24.893299,67.103462,6,5,2019-06-14,3811.5
House,3900000,Baldia Town,24.906445,66.969265,4,4,2019-07-18,598.95
House,21000000,Scheme 33,24.954818,67.11663,4,4,2019-04-06,1306.8
Flat,8500000,North Nazimabad,24.925362,67.039085,2,2,2019-01-18,1306.8
Flat,12900000,DHA Defence,24.810265,67.043552,3,3,2019-06-20,1742.4
Flat,6200000,Gulistan-e-Jauhar,24.912026,67.130733,3,3,2018-10-20,1633.5
House,24000000,Federal B Area,24.945596,67.072513,4,5,2019-07-18,1306.8
House,6642000,Fazaia Housing Scheme,25.07588167,67.10603714,3,3,2019-05-06,1361.25
House,130000000,DHA Defence,24.810265,67.043552,6,6,2019-03-19,5445.0
House,85000000,DHA Defence,24.821639,67.071691,5,5,2019-03-19,5445.0
House,12500000,Fazaia Housing Scheme,25.07588167,67.10603714,5,4,2019-05-06,2994.75
Flat,17500000,North Nazimabad,24.936064,67.036125,3,3,2019-06-27,2069.1
House,120000000,DHA Defence,24.834337,67.055397,6,6,2019-03-19,10890.0
House,150000000,DHA Defence,24.78487755,67.06479046,6,6,2019-01-17,10890.0
Flat,4666000,Fazaia Housing Scheme,25.03738739,67.1361959,2,2,2019-05-06,1579.05
Flat,7960000,Fazaia Housing Scheme,25.03727074,67.13614225,4,3,2019-05-06,2668.05
Flat,10100000,Fazaia Housing Scheme,25.03735777,67.13623881,5,4,2019-05-06,3403.125
Flat,3763000,Fazaia Housing Scheme,25.07588167,67.10603714,2,2,2019-05-06,1415.7
Flat,4090000,Fazaia Housing Scheme,25.05711,67.480417,2,2,2019-05-06,1551.825
Flat,4797000,Fazaia Housing Scheme,25.07570748,67.10568718,4,3,2019-05-06,1824.075
Flat,5136000,Fazaia Housing Scheme,25.05711,67.480417,4,3,2019-05-06,1932.975
Flat,10100000,Fazaia Housing Scheme,25.07588167,67.10603714,5,4,2019-05-06,3403.125
Flat,4666000,Fazaia Housing Scheme,25.03740683,67.13616371,2,2,2019-05-06,1579.05
Flat,7960000,Fazaia Housing Scheme,25.05711,67.480417,4,3,2019-05-06,2668.05
Flat,10100000,Fazaia Housing Scheme,25.05711,67.480417,5,4,2019-05-06,3403.125
Flat,3763000,Fazaia Housing Scheme,25.07588167,67.10603714,2,2,2019-05-06,1415.7
Flat,4090000,Fazaia Housing Scheme,25.07766684,67.10685719,2,2,2019-05-06,1551.825
Flat,4797000,Fazaia Housing Scheme,25.05711,67.480417,4,3,2019-05-06,1824.075
Flat,5136000,Northern Bypass,25.07576,67.105412,4,3,2019-05-06,1932.975
House,115000000,DHA Defence,24.810265,67.043552,7,6,2019-06-14,5445.0
House,7500000,Bahria Town Karachi,25.065275,67.313384,3,3,2019-06-27,1361.25
Flat,4800000,Bahria Town Karachi,24.86551,67.056105,2,2,2019-06-27,1143.45
Flat,2200000,Malir,24.89321,67.195473,1,1,2019-07-18,490.05
House,135000000,DHA Defence,24.810265,67.043552,6,5,2019-06-14,5445.0
House,140000000,DHA Defence,24.810265,67.043552,5,5,2019-06-14,14701.500000000002
House,135000000,DHA Defence,24.810265,67.043552,5,5,2019-06-14,7078.5
House,65000000,DHA Defence,24.821639,67.071691,5,5,2019-06-14,3267.0
House,240000000,DHA Defence,24.782215,67.074537,5,5,2019-06-14,10890.0
House,155000000,DHA Defence,24.805045,67.064323,5,5,2019-06-14,6534.0
House,140000000,DHA Defence,24.810265,67.043552,5,5,2019-06-14,5445.0
House,110000000,DHA Defence,24.819653,67.077749,5,5,2019-06-14,5445.0
House,105000000,DHA Defence,24.819653,67.077749,5,5,2019-06-14,5445.0
