team,overs,rr,inns,opposition,ground,runs,wickets,match_date,match_year,won
Karachi Kings,20.0,7.7,1,Quetta Gladiators,Dubai (DICS),154,6,2017-02-23,2017,False
Karachi Kings,20.0,7.7,1,Islamabad United,Dubai (DICS),154,4,2018-03-18,2018,False
Multan Sultans,20.0,7.7,1,Peshawar Zalmi,Karachi,154,6,2020-03-13,2020,True
Quetta Gladiators,20.0,7.7,1,Peshawar Zalmi,Karachi,154,4,2023-02-20,2023,False
Peshawar Zalmi,19.5,7.76,1,Karachi Kings,Lahore,154,10,2024-02-21,2024,False
Multan Sultans,19.4,7.83,2,Quetta Gladiators,Karachi,154,10,2021-03-03,2021,False
Peshawar Zalmi,18.5,8.17,2,Multan Sultans,Multan,154,10,2023-02-17,2023,False
Lahore Qalandars,17.0,9.05,2,Multan Sultans,Lahore,154,10,2024-02-27,2024,False
Lahore Qalandars,20.0,7.75,1,Karachi Kings,Dubai (DICS),155,6,2017-02-25,2017,False
Peshawar Zalmi,20.0,7.75,1,Quetta Gladiators,Dubai (DICS),155,4,2019-02-15,2019,False
Peshawar Zalmi,20.0,7.8,2,Islamabad United,Dubai (DICS),156,9,2018-03-09,2018,False
Quetta Gladiators,20.0,7.8,2,Peshawar Zalmi,Lahore,156,9,2018-03-20,2018,False
Karachi Kings,20.0,7.8,1,Quetta Gladiators,Karachi,156,9,2020-02-23,2020,False
Quetta Gladiators,20.0,7.8,1,Islamabad United,Karachi,156,7,2021-03-01,2021,False
Peshawar Zalmi,20.0,7.8,1,Islamabad United,Karachi,156,8,2023-02-23,2023,False
Karachi Kings,20.0,7.85,2,Peshawar Zalmi,Dubai (DICS),157,7,2017-03-03,2017,False
Peshawar Zalmi,20.0,7.85,1,Quetta Gladiators,Dubai (DICS),157,5,2018-03-10,2018,False
Peshawar Zalmi,20.0,7.85,1,Quetta Gladiators,Lahore,157,10,2018-03-20,2018,True
Islamabad United,20.0,7.85,1,Quetta Gladiators,Dubai (DICS),157,8,2019-02-17,2019,False
Lahore Qalandars,20.0,7.85,1,Multan Sultans,Karachi,157,6,2021-02-26,2021,False
Multan Sultans,19.1,8.19,2,Lahore Qalandars,Karachi,157,10,2020-11-15,2020,False
Quetta Gladiators,19.1,8.19,2,Islamabad United,Karachi,157,10,2023-02-24,2023,False
Islamabad United,20.0,7.9,1,Lahore Qalandars,Dubai (DICS),158,7,2017-02-11,2017,False
Karachi Kings,20.0,7.9,2,Lahore Qalandars,Dubai (DICS),158,5,2017-02-25,2017,True
Islamabad United,20.0,7.9,1,Peshawar Zalmi,Sharjah,158,9,2019-02-22,2019,True
Quetta Gladiators,20.0,7.9,1,Lahore Qalandars,Abu Dhabi,158,5,2021-06-15,2021,True
Peshawar Zalmi,20.0,7.9,1,Lahore Qalandars,Lahore,158,7,2022-02-21,2022,False
Lahore Qalandars,20.0,7.9,2,Peshawar Zalmi,Lahore,158,8,2022-02-21,2022,False
Karachi Kings,20.0,7.95,1,Quetta Gladiators,Dubai (DICS),159,8,2017-02-11,2017,False
Karachi Kings,20.0,7.95,1,Lahore Qalandars,Dubai (DICS),159,7,2018-02-26,2018,True
Peshawar Zalmi,20.0,7.95,2,Multan Sultans,Abu Dhabi,159,9,2021-06-24,2021,False
Multan Sultans,20.0,7.95,2,Lahore Qalandars,Lahore,159,7,2023-03-04,2023,False
Multan Sultans,20.0,7.95,1,Islamabad United,Karachi,159,9,2024-03-18,2024,False
Peshawar Zalmi,20.0,8.0,2,Lahore Qalandars,Sharjah,160,7,2016-02-13,2016,False
Multan Sultans,20.0,8.0,1,Quetta Gladiators,Sharjah,160,9,2019-02-20,2019,False
Peshawar Zalmi,20.0,8.0,2,Lahore Qalandars,Abu Dhabi,160,8,2021-06-10,2021,False
Multan Sultans,20.0,8.0,1,Lahore Qalandars,Lahore,160,5,2023-03-15,2023,True
Karachi Kings,20.0,8.05,1,Islamabad United,Karachi,161,9,2019-03-14,2019,False
Quetta Gladiators,20.0,8.05,2,Peshawar Zalmi,Lahore,161,8,2022-02-15,2022,False
Quetta Gladiators,20.0,8.1,2,Karachi Kings,Abu Dhabi,162,6,2021-06-19,2021,False
Karachi Kings,20.0,8.1,2,Quetta Gladiators,Karachi,162,5,2023-02-18,2023,False
Lahore Qalandars,20.0,8.1,1,Islamabad United,Rawalpindi,162,7,2024-03-06,2024,True
Islamabad United,19.4,8.23,2,Lahore Qalandars,Lahore,162,10,2022-02-25,2022,False
Lahore Qalandars,20.0,8.15,1,Islamabad United,Dubai (DICS),163,8,2018-03-08,2018,False
Karachi Kings,20.0,8.15,1,Lahore Qalandars,Dubai (DICS),163,5,2018-03-11,2018,False
Lahore Qalandars,20.0,8.15,2,Karachi Kings,Dubai (DICS),163,8,2018-03-11,2018,False
Multan Sultans,20.0,8.15,1,Lahore Qalandars,Lahore,163,2,2022-02-23,2022,True
Islamabad United,20.0,8.15,2,Multan Sultans,Karachi,163,8,2024-03-18,2024,True
Lahore Qalandars,20.0,8.2,1,Peshawar Zalmi,Sharjah,164,3,2016-02-13,2016,True
Quetta Gladiators,20.0,8.2,2,Islamabad United,Dubai (DICS),164,5,2017-02-24,2017,False
