matches,innings,not_outs,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,fours,player_name,teams_played,num_teams,span_start,span_end,career_yrs,hs_not_out
28,17,8,137,24.0,15.22,123,111.38,0,0,3,8,Hassan Khan,LQ/QG,2,2017,2022,5,False
14,12,5,134,32.0,19.14,127,105.51,0,0,2,12,DJ Bravo,LQ/QG,2,2016,2019,3,False
9,8,0,128,34.0,16.0,103,124.27,0,0,0,17,Rohail Nazir,IU/KK/MS,3,2020,2022,2,False
10,9,0,128,51.0,14.22,98,130.61,0,1,1,15,Muhammad Akhlaq,IU/KK,2,2021,2024,3,False
22,14,5,127,27.0,14.11,88,144.31,0,0,2,9,Amad Butt,IU/PZ,2,2017,2022,5,True
9,8,1,126,51.0,18.0,90,140.0,0,1,0,11,Qasim Akram,KK,1,2021,2023,2,True
75,26,12,125,23.0,8.92,105,119.04,0,0,3,17,Mohammad Amir,KK/QG,2,2016,2024,8,False
13,10,4,115,31.0,19.16,95,121.05,0,0,0,6,AJ Hosein,MS/QG,2,2023,2024,1,False
8,7,2,111,45.0,22.2,86,129.06,0,0,1,7,Danish Aziz,IU/KK/QG,3,2018,2022,4,False
18,12,6,111,22.0,18.5,74,150.0,0,0,0,10,CR Brathwaite,LQ/MS/PZ,3,2019,2024,5,True
5,5,2,110,42.0,36.66,121,90.9,0,0,0,8,Gulraiz Sadaf,LQ,1,2018,2018,0,True
6,5,0,107,37.0,21.4,87,122.98,0,0,0,9,F du Plessis,PZ/QG,2,2020,2021,1,False
6,5,1,106,41.0,26.5,86,123.25,0,0,0,7,JM Cox,IU,1,2024,2024,0,False
3,3,0,104,69.0,34.66,69,150.72,0,1,0,16,AM Rossington,KK,1,2023,2023,0,False
9,9,0,103,49.0,11.44,116,88.79,0,0,1,10,LJ Evans,MS/QG,2,2019,2024,5,False
9,6,1,99,27.0,19.8,97,102.06,0,0,0,9,Shahid Yousuf,PZ,1,2016,2016,0,True
5,5,1,97,41.0,24.25,66,146.96,0,0,0,11,PBB Rajapaksa,PZ,1,2023,2023,0,False
8,8,1,96,31.0,13.71,94,102.12,0,0,0,11,MH Wessels,KK/LQ/PZ,3,2016,2019,3,True
12,12,4,94,29.0,11.75,95,98.94,0,0,3,7,Hammad Azam,LQ/MS/PZ,3,2016,2021,5,False
